Page ID	Document URL	Reference number	Reference
doc06	https://en.wikipedia.org/wiki/Pacta_conventa_(Croatia)	[11],[12]	Fine, John (2006). When Ethnicity Did Not Matter in the Balkans: A Study of Identity in Pre-nationalist Croatia, Dalmatia, and Slavonia in the Medieval and Early-modern Periods . University of Michigan Press . ISBN 978-0-472-11414-6 .
doc06	https://en.wikipedia.org/wiki/Pacta_conventa_(Croatia)	[13]	Bellamy, Alex J. (2003). The Formation of Croatian National Identity: A Centuries-old Dream . Manchester University Press . ISBN 978-0-7190-6502-6 .
doc06	https://en.wikipedia.org/wiki/Pacta_conventa_(Croatia)	[14]	Antoljak, Stjepan (November 1995). "Milan Sufflay kao paleograf i diplomatičar" . Arhivski vjesnik (in Croatian) (38). Croatian State Archives : 144–145. ISSN 0570-9008 . Retrieved 2012-05-10 .
doc06	https://en.wikipedia.org/wiki/Pacta_conventa_(Croatia)	[15]	Klaić, Nada (1958–59). "O. Mandić, "Pacta conventa" i "dvanaest" hrvatskih bratstava" (PDF) . Historical Journal (in Croatian). XI–XII. Croatian Historical Society: 165–206. ISSN 0351-2193 . Archived from the original (PDF) on 2016-03-04 . Retrieved 2012-05-10 .
doc06	https://en.wikipedia.org/wiki/Pacta_conventa_(Croatia)	[16]	Heka, Ladislav (October 2008). "Croatian-Hungarian relations from the Middle Ages to the Compromise of 1868, with a special survey of the Slavonian issue" . Scrinia Slavonica (in Croatian). 8 (1). Slavonski Brod: Croatian Historical Institute – Department of History of Slavonia, Srijem and Baranja: 155. ISSN 1332-4853 . Retrieved 2012-05-10 .
doc06	https://en.wikipedia.org/wiki/Pacta_conventa_(Croatia)	[17]	"Croatia (History)" . Encarta . Archived from the original on 2006-06-29 . Retrieved 2009-03-06 .
doc07	https://en.wikipedia.org/wiki/Document_12-571-3570	[3]	Roach, Mary (2011). Packing For Mars . W. W. Norton & Company. pp. 235–236. ISBN 9780393339918 . Archived from the original on 2017-02-25 . Retrieved 2021-05-07 .
doc07	https://en.wikipedia.org/wiki/Document_12-571-3570	[4]	David Schmader, Last Days Archived 2007-12-10 at the Wayback Machine , The Stranger , February 22, 2000
doc07	https://en.wikipedia.org/wiki/Document_12-571-3570	[5]	Pierre Kohler. La Dernière Mission ( The Final Mission ). Calmann-Levy, 2000 - ISBN 2-7021-3080-1 .
doc07	https://en.wikipedia.org/wiki/Document_12-571-3570	[6]	"The 100,000-Mile-High Club" . Wired News. February 23, 2000. Archived from the original on 3 March 2003 . Retrieved 27 October 2016 .
doc12	https://en.wikipedia.org/wiki/Letter_of_Lentulus	[4]	Maas, Anthony John (1910). " Publius Lentulus ". In Herbermann, Charles (ed.). Catholic Encyclopedia . Vol. 9. New York: Robert Appleton Company.
doc12	https://en.wikipedia.org/wiki/Letter_of_Lentulus	[7]	Münter, Friedrich (1825). Die Sinnbilder und Kunstvorstellungen der alten Christen . Altona. p. 9.
doc12	https://en.wikipedia.org/wiki/Letter_of_Lentulus	[8]	Schneemelcher, Wilhelm, ed. (1991). New Testament Apocrypha: Gospels and Related Writings . Vol. 1. Cambridge: James Clarke. p. 66. ISBN 0-227-67915-6 .
doc12	https://en.wikipedia.org/wiki/Letter_of_Lentulus	[9]	Sherk, Robert K, ed. (2001). The Roman Empire: Augustus to Hadrian . Cambridge University Press. p. 43. ISBN 0-521-33887-5 . 6:1, [In the consulship of Marcus Vinicius and Quintius Lucrecius (19 BC)] and later in that of Publius Lentulus and Gnaeus L[entulus (18 BC) and a third time in that of Paullus Fabius Maximus and Quintus Tubero (11 BC) the senate and the Roman people agreed] that [I should be made sole guardian of the laws and morals with the highest authority, but I did not accept any magistracy, though offered, which was contrary to the customs of our ancestors.
doc12	https://en.wikipedia.org/wiki/Letter_of_Lentulus	[10]	"The Deeds of the Divine Augustus" . The Internet Classics Archive .
doc13	https://en.wikipedia.org/wiki/Minuscule_2427	[8]	Stephen C. Carlson, "Archaic Mark" (MS 2427) and the Finding of a Manuscript Fake (2006).
doc13	https://en.wikipedia.org/wiki/Minuscule_2427	[9]	Mary V. Orna, Applications of Infrared Microspectroscopy to Art Historical Questions about Medieval Manuscripts , Archaeological Chemistry, 4 (1988), pp. 270-288.
doc13	https://en.wikipedia.org/wiki/Minuscule_2427	[10]	Carlson 2006a
doc13	https://en.wikipedia.org/wiki/Minuscule_2427	[11]	Mitchell and Duncan 2006
doc13	https://en.wikipedia.org/wiki/Minuscule_2427	[12]	Novum Testamentum Graece , ed. Ph. Buttman, 5th edition, (Leipzig 1878)
doc13	https://en.wikipedia.org/wiki/Minuscule_2427	[13]	Stephen C. Carlson, The Nineteenth-Century Exemplar of “Archaic Mark” (MS 2427), SBL 2006.
doc13	https://en.wikipedia.org/wiki/Minuscule_2427	[14]	“Chicago’s ‘Archaic Mark’ (ms 2427) II: Microscopic, Chemical and Codicological Analysis Confirms Modern Production” (with Joseph G. Barabe and Abigail B. Quandt). Novum Testamentum 52 (2010) 101-33.
doc14	https://en.wikipedia.org/wiki/Oath_of_a_Freeman	[1]	McDowell, Edwin (1985). "Gallery Said To Possess First American Imprint" . The New York Times . Retrieved 10 May 2018 .
doc14	https://en.wikipedia.org/wiki/Oath_of_a_Freeman	[3]	Lindsey, Robert (1987). "Dealer in Mormon Fraud Called a Master Forger" . The New York Times . Retrieved 10 May 2018 .
doc14	https://en.wikipedia.org/wiki/Oath_of_a_Freeman	[4]	Worrall, Simon (2009). The Poet and the Murderer (Kindle ed.).
doc14	https://en.wikipedia.org/wiki/Oath_of_a_Freeman	[8]	Naifeh, Steven; Smith, Gregory White (2005). The Mormon Murders: A True Story of Greed, Forgery, Deceit, and Death . St. Martin's Press.
doc15	https://en.wikipedia.org/wiki/Pami%C4%99tnik_handlowca	[1]	Pula, James S. (2008). "Fact vs. Fiction: What Do We Really Know About The Polish Presence In Early Jamestown?". The Polish Review . 53 (4): 477–493. JSTOR 25779776 .
doc16	https://en.wikipedia.org/wiki/Pata_Khazana 	[1]	Jiří Bečka (1980). Bedřich Hrozný (ed.). "Review of Pota Tofdani". Archiv Orientální. Orientální ústav: 80.
doc16	https://en.wikipedia.org/wiki/Pata_Khazana 	[4]	David Neil MacKenzie: "The Development of the Pashto Script". In: Shirin Akiner (Editor): Languages and Scripts of Central Asia. School of Oriental and African Studies, Univ. of London, 1997, ISBN 978-0728602724. p. 142
doc17	https://en.wikipedia.org/wiki/Privilegium_Maius	[1]	"Hatte sein Vater durch Anerkennung des Privilegium maius dem Haus einen besonderen Rang im Reich verschafft ,so steigerte Maximilian das Ansehen und den Anspruch der Dynastie durch genealogische Spekulationen [...]" [10]
doc18	https://en.wikipedia.org/wiki/The_Protocols_of_the_Elders_of_Zion 	[3]	Graves, Philip (August 16–18, 1921). "The Truth about the Protocols: A Literary Forgery" . The Times . London. Archived from the original on August 9, 2003.
doc18	https://en.wikipedia.org/wiki/The_Protocols_of_the_Elders_of_Zion 	[4]	Jacobs analyses the Marsden English translation. Some other less common imprints have more or less than 24 protocols.
doc18	https://en.wikipedia.org/wiki/The_Protocols_of_the_Elders_of_Zion 	[5]	The main speaker was the former chief of the Swiss General Staff Emil Sonderegger .
doc18	https://en.wikipedia.org/wiki/The_Protocols_of_the_Elders_of_Zion 	[6]	Zander had to withdraw his contention and the stock of the incriminated Protocols were destroyed by order of the court. Zander had to pay the fees of this Basel Trial. [75]
doc19	https://en.wikipedia.org/wiki/Salamander_letter	[5]	"THE SALAMANDER LETTER - Sandra and Jerald Tanner - Venner 01" . www.veneermagazine.com . Retrieved 2022-06-12 .
doc19	https://en.wikipedia.org/wiki/Salamander_letter	[6]	Quinn, D. Michael (1998), Early Mormonism and the Magic World View , Signature Books, ISBN 1560850892
doc19	https://en.wikipedia.org/wiki/Salamander_letter	[10]	Schindler, Harold (15 February 1987), "First 'Hofmann' history-mystery", The Salt Lake Tribune
doc19	https://en.wikipedia.org/wiki/Salamander_letter	[11]	Tvedtnes, John A (1994), "Review of Answering Mormon Scholars: A Response to Criticism of the Book 'Covering Up the Black Hole in the Book of Mormon' " , Review of Books on the Book of Mormon , 6 (2), Provo, Utah: Maxwell Institute , retrieved 2014-02-27
doc19	https://en.wikipedia.org/wiki/Salamander_letter	[12]	Faust, James E. (October 1989). "Continuous Revelation" . We make no claim of infallibility or perfection in the prophets, seers, and revelators.
doc19	https://en.wikipedia.org/wiki/Salamander_letter	[13]	"Doctrine and Covenants Student Manual" . The Church of Jesus Christ of Latter-day Saints. 2002. pp. 389–92. No claim is put forth by the prophets of God to suggest that they are infallible, that everything they say and do is what the Lord would say and do. Only when they act in harmony with the will of the Lord do they become the Lord's mouthpiece. Each President of the Church has been quick to point out that he has weaknesses and imperfections.
doc19	https://en.wikipedia.org/wiki/Salamander_letter	[14]	Lindsey, Robert (1988), A Gathering of Saints: A True Story of Money Murder and Deceit , New York: Simon and Schuster, ISBN 0671651129 , OCLC 18105692
doc19	https://en.wikipedia.org/wiki/Salamander_letter	[15]	Dew, Sheri (1996), Go Forward with Faith: The Biography of Gordon B. Hinckley , Salt Lake City: Deseret Book, ISBN 1573451657 , OCLC 35364667
doc19	https://en.wikipedia.org/wiki/Salamander_letter	[16]	Midgley, Louis (2003), "Prying into Palmer" , FARMS Review , 15 (2), Provo, Utah: Maxwell Institute , retrieved 2014-02-27
doc19	https://en.wikipedia.org/wiki/Salamander_letter	[17]	Palmer, Grant H. (June 2010), "My Years in the Church Education System, 1967–2001" , signaturebooks.com , archived from the original on 2012-05-30 , retrieved 2014-02-27
doc19	https://en.wikipedia.org/wiki/Salamander_letter	[18]	Tanner, Jerald ; Tanner, Sandra (1993), Problems in the Godmakers II , Salt Lake City: Utah Lighthouse Ministry
doc20	https://en.wikipedia.org/wiki/The_Will_of_Peter_the_Great	[1]	John Barrow , The Life of Peter the Great , Chapter "Note on the Alleged Will of Peter the Great"
doc20	https://en.wikipedia.org/wiki/The_Will_of_Peter_the_Great	[2]	Dimitry V. Lehovich, "The Testament of Peter the Great",  American Slavic and East European Review Vol. 7, No. 2 (Apr., 1948), pp. 111-124 JSTOR 2492188
doc20	https://en.wikipedia.org/wiki/The_Will_of_Peter_the_Great	[5]	Jerzy Zdrada. "Apollo Korzeniowski's Poland and Muscovy " : p. 61
doc20	https://en.wikipedia.org/wiki/The_Will_of_Peter_the_Great	[6]	Neumann, Iver B. "Europe's post-Cold War memory of Russia: cui bono?" in Memory and power in post-war Europe: studies in the presence of the past ed. Jan-Werner Müller. Cambridge University Press, 2002: p. 132
doc20	https://en.wikipedia.org/wiki/The_Will_of_Peter_the_Great	[7]	McNally, Raymond T. "The Origins of Russophobia in France" in American Slavic and East European Review Vol. 17, No. 2 (Apr., 1958): pp. 173-189
doc20	https://en.wikipedia.org/wiki/The_Will_of_Peter_the_Great	[8]	Wheen, Francis (2000). Karl Marx: A Life . W. W. Norton & Company. p. 211. ISBN 978-0-393-04923-7 .
doc20	https://en.wikipedia.org/wiki/The_Will_of_Peter_the_Great	[9]	"Excerpts on Russia from Karl Marx (1856–57/1873)" . www.marxists.org . Retrieved 2021-11-08 .
doc20	https://en.wikipedia.org/wiki/The_Will_of_Peter_the_Great	[10]	"Poland's European Mission by Karl Marx 1867" . www.marxists.org . Retrieved 2021-11-08 .
doc20	https://en.wikipedia.org/wiki/The_Will_of_Peter_the_Great	[11]	The American Historical Review , 1912, p.705
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[1]	Seaver, Kirsten A. (2004). Maps, Myths and Men . Stanford, CA: Stanford University Press. ISBN 978-0-8047-4963-3 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[4]	Washburn, Wilcomb E., ed. (1971). Proceedings of the Vinland Map Conference . Chicago, IL: University of Chicago Press.
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[5]	A.D. Baynes-Cope (1974). "The Scientific Examination of the Vinland Map at the Research Laboratory of the British Museum". Geographical Journal . 140 (2): 208–211. doi : 10.2307/1797077 . JSTOR 1797077 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[6]	Walter C. McCrone & Lucy B. McCrone (1974). "The Vinland Map Ink". Geographical Journal . 140 (2): 212–214. doi : 10.2307/1797078 . JSTOR 1797078 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[7]	Cahill, Thomas A.; et al. (1985). Further Analysis of the Vinland Map, Tartar Relation, and Speculum Historiale . Sacramento, CA: Crocker Nuclear Laboratory.
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[8]	K. M. Towe (1990). "The Vinland Map: Still a Forgery" (Reprint) . Accounts of Chemical Research . 23 (3): 84–87. doi : 10.1021/ar00171a005 . Retrieved 2007-10-26 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[9]	Gregory Möller, "Preliminary Report on the Scanning Electron Microscope Analysis of Particles from the Vinland Map", unpublished
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[10]	Skelton et al. (1995) pages xxix-xxxix
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[11]	T.A. Cahill; R.N. Schwab; B.H. Kusko; R.A. Eldred; G. Moller; D. Dutschke; D. L. Wick & A.S. Pooley (1987). "The Vinland Map, Revisited: New Compositional Evidence on Its Inks and Parchment". Analytical Chemistry . 59 (6): 829–833. doi : 10.1021/ac00133a009 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[12]	Cahill, Thomas A.; et al. (1985). "Excerpts from Appendices to: Further Analysis of the Vinland Map, Tartar Relation, and Speculum Historiale" . collage by PastPresented, 2015 . Retrieved 2015-01-31 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[13]	K. M. Towe; R. J. H. Clark; K. A. Seaver (2008). "Analysing the Vinland Map: A Critical Review of a Critical Review" (PDF) . Archaeometry . 50 (5): 887–893. CiteSeerX 10.1.1.482.5712 . doi : 10.1111/j.1475-4754.2008.00428.x .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[14]	Walter C. McCrone (1988). "The Vinland Map". Analytical Chemistry . 60 (10): 1009–1018. doi : 10.1021/ac00161a013 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[15]	Walter C. McCrone (1999). "Vinland Map 1999" (PDF) . The Microscope . 47 (2): 71–74.
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[16]	Katherine L. Brown; Robin J. H. Clark (2002). "Analysis of Pigmentary Materials on the Vinland Map and Tartar Relation by Raman Microprobe Spectroscopy" (Reprint) . Analytical Chemistry . 74 (15): 3658–3661. doi : 10.1021/ac025610r . PMID 12175150 . Retrieved 2007-10-26 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[17]	Jacqueline S. Olin (2003). "Evidence That the Vinland Map Is Medieval" (Reprint) . Analytical Chemistry . 75 (23): 6745–6747. doi : 10.1021/ac034533c . PMID 16468159 . Retrieved 2007-10-26 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[18]	Kenneth M. Towe (2004). "The Vinland Map Ink Is NOT Medieval" (Reprint) . Analytical Chemistry . 76 (3): 863–865. doi : 10.1021/AC0354488 . PMID 14750887 . Retrieved 2007-10-26 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[19]	McNaughton, Douglas (2000). "Scientific Studies of the Vinland Map". Vikings: The North Atlantic Saga . Washington, D.C.: Smithsonian Books. p. 269.
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[20]	Olin, J.S. (2013). "The Vinland Map: Transmission Electron Micrograph of the Ink". International Journal of Advances in Chemistry . 1 (1).
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[21]	Donahue, D. J.; Olin, J. S.; Harbottle G. (2002). "Determination of the Radiocarbon Age of Parchment of the Vinland Map" . Radiocarbon . 44 : 45–52. doi : 10.1017/S0033822200064651 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[22]	Skelton et al. (1995) pages lvi-lvii
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[23]	Wilford, John Noble (Feb 13, 1996). "Disputed Medieval Map Called Genuine After All" . The New York Times . Retrieved May 13, 2020 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[24]	Shalev, Zur (2007). "Reviewed Work: Maps, Myths, and Men: The Story of the Vinland Map by Kirsten A. Seaver". The Journal of Interdisciplinary History . 37 (3): 455–457. doi : 10.1162/jinh.2007.37.3.455 . JSTOR 4139628 . S2CID 145613762 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[25]	Schledermann, Peter (2005). "Review: Maps, Myths, and Men: The Story of the Vinland Map" . Arctic . 58 (1): 84–85. doi : 10.14430/arctic396 . Archived from the original on 16 October 2015 . Retrieved 10 September 2015 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[26]	Harvey, P. D. A. (January 2006). "The Vinland Map, R. A. Skelton and Josef Fischer". Imago Mundi . 58 (1): 95–99. doi : 10.1080/03085690500362629 . S2CID 128426431 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[27]	Hellen, Nicholas (June 2, 2013). "Amateur scuppers 'Viking map of US' " . The Sunday Times . ISSN 0140-0460 . Retrieved April 28, 2020 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[28]	"The Viking Map" . Secrets . Season 1. Episode 5. 2013. Smithsonian Channel. Archived from the original on 24 February 2015.
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[29]	René Larsen & Dorte V. Poulsen, Report on the Assessment and Survey ... of the Vinland Map ... Archived 2011-06-17 at the Wayback Machine web version, Royal Danish Academy of Fine Arts (2005)
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[30]	"Vinland Map of America no forgery, expert says" . reuters.com . Reuters. 17 July 2009 . Retrieved 18 July 2009 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[31]	René Larsen & Dorte V. P. Sommer (2009). "Facts and Myths about the Vinland Map and its Context". Zeitschrift für Kunsttechnologie und Konservierung . 23 (2): 196–205.
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[32]	Borrell, Brendan Pre-Columbian Map of North America Could Be Authentic--Or not , Scientific American (2008-07-22)
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[33]	Sommer, Dorte V. P.; Axelsson, K. M.; et al. (2017). "Multiple Microanalyses of a Sample from the Vinland Map". Archaeometry . 59 (2): 287–301. doi : 10.1111/arcm.12249 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[34]	Floyd, John Paul (21 May 2013). "Details of the recent Vinland Map discoveries / References" . Maphist forum . Archived from the original on 8 November 2014 . Retrieved Apr 27, 2018 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[35]	Exposición Histórico-Europea 1892 á 1893: Catálogo General . Madrid, Spain: Fortanet. 1893. p. Sala X: 53.
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[36]	Pérez Pastor, Cristóbal (1926). Noticias y Documentos relativos á la Historia y Literatura Españolas recogidos por D. C. Pérez Pastor (tomo III) . Madrid, Spain: Real Academia Española. p. 89.
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[37]	Hancock, Peter (2015). Hoax Springs Eternal: The Psychology of Cognitive Deception (1st ed.). Cambridge University Press. ISBN 978-1-107-07168-1 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[38]	Formaleoni, Vincenzio (1783). "c1782 engraving from Andrea Bianco map (per J.P. Floyd claims)" . John Carter Brown Library . Retrieved February 1, 2015 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[39]	Floyd, John Paul (2018). A Sorry Saga: Theft, Forgery, Scholarship... and the Vinland Map . Independently Published. ISBN 978-1719979788 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[40]	"Vinland Map Flap Redux, Yale Alumni Magazine, October 2002" . Archived from the original on November 14, 2012 . Retrieved May 13, 2020 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[41]	Freedman, Paul (November 28, 2011). "HIST-210: Lecture 22 - Vikings / The European Prospect" . Open Yale courses . Archived from the original on August 27, 2014 . Retrieved August 26, 2014 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[42]	Richard Hark (21 Sep 2018). The Vinland Map Rediscovered symposium (recorded livestream). Mystic Seaport, CT: Mystic Seaport . Retrieved 22 Sep 2018 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[43]	Clemens, Raymond (2019). "Acquisition, Collaboration, Teaching: The Role of the Beinecke Library in Driving Research". Bulletin of the Center for Historical Social Science Literature, Hitotsubashi University . 39 : 13–18. doi : 10.15057/30238 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[44]	Cummings, Mike (September 1, 2021). "Analysis unlocks secret of the Vinland Map — it's a fake" . YaleNews . Retrieved September 2, 2021 .
doc21	https://en.wikipedia.org/wiki/Vinland_Map	[45]	Yuhas, Alan (2021-09-30). "Yale Says Its Vinland Map, Once Called a Medieval Treasure, Is Fake" . The New York Times . ISSN 0362-4331 . Retrieved 2021-09-30 .
doc23	https://en.wikipedia.org/wiki/Book_of_Jasher_(Pseudo-Jasher)	[3]	Stephen, Leslie , ed. (1887). "Ilive, Jacob" . Dictionary of National Biography . Vol. 12. London: Smith, Elder & Co.
doc23	https://en.wikipedia.org/wiki/Book_of_Jasher_(Pseudo-Jasher)	[4]	"Part 1, Groups, Book 1" . Catalog of Copyright Entries . Vol. 31 (New Series). Washington. 1935. pp. 1691–1692. {{ cite book }} :  CS1 maint: location missing publisher ( link )
doc24	https://en.wikipedia.org/wiki/Book_of_Veles	[4]	What scientists think about the «Veles book» // Compiled by A. Alexeyev (in Russian)
